Unnamed: 0,SMILES,best_score
,Cc1ccccc1CCN(CCCCCc1ccccc1)C(CCCCN(C)CCCc1ccccc1)c1ccccc1,-10.3
,c1ccc2c(c1)-c1ccccc1C2NC1c2ccccc2-c2ccccc21,-12.5
,c1ccc2c(c1)-c1ccccc1C2N(C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,-11.5
,c1ccc(CCN(C2c3ccccc3-c3ccccc32)C2c3ccccc3-c3ccccc32)cc1,-14
,CCCCN(C1C(C)=C(C)C(C)=C1C)C1c2ccccc2-c2ccccc21,-11.5
,c1ccc2c(c1)-c1ccccc1C2[N+]12CC[N+](C3c4ccccc4-c4ccccc43)(CC1)CC2,-10.4
,CC(NC1c2ccccc2-c2ccccc21)c1ccc(CNC2c3ccccc3-c3ccccc32)cc1,-14.5
,c1ccc(CN(Cc2ccccc2)C2c3ccccc3-c3ccccc32)cc1,-11.9
,CN(Cc1ccccc1)C1c2ccccc2-c2ccccc21,-10.7
,C[N+](C)(CCCCCC[N+](C)(C)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,-13.1
,C[N+](C)(Cc1ccccc1)C1c2ccccc2-c2ccccc21,-11.4
,CN(C)C1(C2c3ccccc3-c3ccccc32)c2ccccc2-c2ccccc21,-11.8
,Cc1ccccc1CN1CCN(C2c3ccccc3-c3ccccc32)CC1,-11.3
,C[N+](C)(CCCCCC[N+](C)(Cc1cc(F)c(F)c(F)c1F)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,-14.4
,CC[N+](CC)(CCCCCCCCCC[N+](CC)(CC)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,-11.1
,C[N+](C)(CCC[N+](C)(C)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,-12.5
,C[NH+](CCCCCC[NH+](C)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,-12.4
,CC[N+](CC)(CCCCCC[N+](CC)(CC)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,-12.3
,C[N+](C)(CCCCCCCCCC[N+](C)(C)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,-12.2
,C[N+](C)(CCCCCC[N+](C)(C)C1c2ccccc2-c2ccccc21)C1c2ccccc2-c2ccccc21,-13.1
,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,-9
,C[C@@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,-10.8
,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2C,-8.5
,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCNC1N2,-9.1
,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12,-11.1
,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2C,-11.1
,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1,-11.8
,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3NC12,-10.3
,C[C@]12CCNC1Nc1ccc(OC(=O)Nc3ccccc3)cc12,-10.6
,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(CCc4ccccc4)C2N3C)cc1,-12.5
,CN1c2ccc(OC(=O)Nc3ccccc3)cc2[C@]2(C)CCNC12,-10.6
,Cc1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1,-11.2
,CCc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CC[N+](C)([O-])[C@@H]1N2C.Cl,Incorrect number of molecular fragments (2)
,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN[C@@H]2N3)cc1,-11
,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)C2N3)cc1,-11
,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2,-8.3
,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2Cc1ccccc1,-11.1
,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(Cc3ccccc3)C1N2C,-11.1
,Cc1cccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)c1,-11.1
,Cc1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)cc1C,-11.7
,Cc1ccc(C)c(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)c1,-11.2
,CN(C(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C)c1ccccc1,-11.3
,CCc1cccc(CC)c1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,-10.9
,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCOC2N3C)cc1,-10.9
,Cc1ccccc1NC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2Cc1ccccc1,-12.4
